Date,heureNombre,heureHHMMSS,taille,prix
20140303,0.4039467593,94141,2,1205.08
20140303,0.4039583333,94142,200,1205.77
20140303,0.4039814815,94144,2,1206
20140303,0.4039930556,94145,10,1206
20140303,0.4040046296,94146,5,1205.11
20140303,0.4040277778,94148,3,1206
20140303,0.4040509259,94150,10,1205.1401
20140303,0.4040625,94151,100,1205.56
20140303,0.4040740741,94152,301,1206.3543853821
20140303,0.4041319444,94157,20,1206
20140303,0.4041435185,94158,200,1206.02
20140303,0.4041550926,94159,771,1205.9775574579
20140303,0.4041898148,94202,45,1206.0033333333
20140303,0.404212963,94204,5,1205.73
20140303,0.4042708333,94209,7,1205.746
20140303,0.4043055556,94212,100,1205.775
20140303,0.4043171296,94213,500,1205.1988
20140303,0.4043287037,94214,20,1205.181
20140303,0.4043402778,94215,505,1205.191980198
20140303,0.4043634259,94217,300,1205.2533333333
20140303,0.4044097222,94221,6,1205.1801
20140303,0.4044212963,94222,40,1205.75
20140303,0.4044328704,94223,50,1205.299
20140303,0.4044560185,94225,100,1205.88
20140303,0.4044675926,94226,151,1205.6533450331
20140303,0.4044907407,94228,100,1205.88
20140303,0.4045138889,94230,2,1205.76
20140303,0.404537037,94232,60,1205.60969
20140303,0.4045601852,94234,100,1205.832
20140303,0.4045949074,94237,20,1205.18
20140303,0.4046064815,94238,3,1205.88
20140303,0.4046296296,94240,15,1205.18
20140303,0.4046412037,94241,30,1205.89
20140303,0.4046643519,94243,5,1205.89
20140303,0.4046759259,94244,13,1205.2347076923
20140303,0.4046875,94245,338,1205.8899
20140303,0.4047222222,94248,105,1205.8552380952
20140303,0.4047453704,94250,2,1205.89
20140303,0.4048263889,94257,12,1205.89
20140303,0.404837963,94258,6,1205.34
20140303,0.404849537,94259,20,1206.47
20140303,0.4048726852,94301,106,1206.4151
20140303,0.4048842593,94302,150,1206.4699
20140303,0.4049305556,94306,25,1206.4692
20140303,0.4049421296,94307,314,1206.0269426752
20140303,0.4049768519,94310,200,1205.875
20140303,0.4050462963,94316,100,1205.4
20140303,0.4050694444,94318,20,1206.209
20140303,0.4050925926,94320,200,1205.855
20140303,0.4051157407,94322,100,1205.62
20140303,0.4051273148,94323,814,1205.4077395577
20140303,0.4051388889,94324,4,1206.11
20140303,0.405162037,94326,100,1205.7226
20140303,0.4051736111,94327,100,1205.51
20140303,0.4052314815,94332,10,1205.25
20140303,0.4052430556,94333,57,1205.3273684211
20140303,0.4052546296,94334,10,1205.88
20140303,0.4052893519,94337,1,1205.88
20140303,0.4053125,94339,700,1205.8531428571
20140303,0.4053587963,94343,300,1205.88
20140303,0.4053703704,94344,100,1205.88
20140303,0.4053935185,94346,203,1205.8543827586
20140303,0.4054282407,94349,11,1205.6263636364
20140303,0.4054398148,94350,3,1205.99
20140303,0.405474537,94353,3,1205.2673
20140303,0.4054861111,94354,1,1205.2801
20140303,0.4055324074,94358,15,1205.2501
20140303,0.4055555556,94400,111,1205.627990991
20140303,0.4055671296,94401,82,1205.4078048781
20140303,0.405625,94406,83,1205.2439759036
20140303,0.4056365741,94407,18,1205.2
20140303,0.4056481481,94408,498,1205.0087951807
20140303,0.4056597222,94409,134,1204.5032835821
20140303,0.4056712963,94410,90,1204.296
20140303,0.4056944444,94412,374,1204.3080213904
20140303,0.4057060185,94413,25,1204.22
20140303,0.4057175926,94414,25,1204.3588
20140303,0.4057407407,94416,1,1204.91
20140303,0.405775463,94419,120,1204.7466666667
20140303,0.4058217593,94423,5,1204.95
20140303,0.4058333333,94424,25,1204.23
20140303,0.4058796296,94428,50,1204.23
20140303,0.4058912037,94429,200,1204.93
20140303,0.4059027778,94430,5,1205.509
20140303,0.4059143519,94431,12,1204.23
20140303,0.4059259259,94432,100,1205.5099
20140303,0.4059606481,94435,3,1205.5
20140303,0.4059722222,94436,10,1205.51
20140303,0.4059837963,94437,50,1205.509
20140303,0.4060069444,94439,20,1205.51
20140303,0.4060300926,94441,7,1205.0285714286
20140303,0.4060416667,94442,100,1205.5099
20140303,0.4060763889,94445,18,1205.509
20140303,0.4061226852,94449,6,1204.841
20140303,0.4061458333,94451,5,1205.51
20140303,0.4062152778,94457,194,1204.9409463918
20140303,0.40625,94500,1,1205.51
20140303,0.4062847222,94503,5,1204.91
20140303,0.4062962963,94504,400,1205.00225
20140303,0.4063194444,94506,75,1204.9100333333
20140303,0.4063310185,94507,220,1205.5546818182
20140303,0.4063541667,94509,200,1205.9195
20140303,0.4063888889,94512,101,1205.1979207921
20140303,0.4064236111,94515,10,1205.989
20140303,0.4065856481,94529,4,1205.88
20140303,0.4066435185,94534,100,1205.475
20140303,0.4066782407,94537,10,1205.88
20140303,0.4067013889,94539,10,1205.3001
20140303,0.406724537,94541,14,1205.3415714286
20140303,0.4067592593,94544,250,1205.946376
20140303,0.4067708333,94545,544,1205.8182426471
20140303,0.4067824074,94546,28,1205.99
20140303,0.4067939815,94547,4,1205.3
20140303,0.4068055556,94548,2,1205.989
20140303,0.4068402778,94551,100,1205.3101
20140303,0.4068634259,94553,600,1205.8966666667
20140303,0.406875,94554,100,1205.7925
20140303,0.4068981481,94556,210,1205.6016714286
20140303,0.4069097222,94557,2,1206.4799
20140303,0.4069444444,94600,2,1206.48
20140303,0.4069560185,94601,1,1206.478
20140303,0.4069791667,94603,100,1206.48
20140303,0.4069907407,94604,168,1205.8489285714
20140303,0.4070023148,94605,407,1206.0377886978
20140303,0.4070833333,94612,210,1206.3680952381
20140303,0.4071180556,94615,8,1206.93
20140303,0.4071527778,94618,500,1206.93
20140303,0.4071875,94621,100,1206.929
20140303,0.4071990741,94622,700,1206.5471428571
20140303,0.4072569444,94627,100,1206.61
20140303,0.4073148148,94632,5,1206.929
20140303,0.4073611111,94636,5,1206.88
20140303,0.4073726852,94637,1160,1206.9790517241
20140303,0.4073958333,94639,2,1206.49
20140303,0.4074074074,94640,10,1206.98
20140303,0.4074189815,94641,400,1206.9225
20140303,0.4074652778,94645,5,1206.975
20140303,0.4074884259,94647,82,1206.9
20140303,0.4075,94648,100,1206.84
20140303,0.4075115741,94649,8,1206.6101
20140303,0.4075578704,94653,5,1206.61
20140303,0.4075810185,94655,3,1206.805
20140303,0.4076388889,94700,100,1206.61
20140303,0.407650463,94701,200,1206.77
20140303,0.407662037,94702,953,1205.586490766
20140303,0.4077662037,94711,72,1207
20140303,0.4077777778,94712,11,1205
20140303,0.4077893519,94713,9,1205.5
20140303,0.4078356481,94717,12,1206.66
20140303,0.4078587963,94719,8,1205.01
20140303,0.4078935185,94722,85,1206.6561882353
20140303,0.4079050926,94723,1,1206.66
20140303,0.4079166667,94724,1,1206.66
20140303,0.4079398148,94726,14,1206.5206857143
20140303,0.407974537,94729,5,1206.66
20140303,0.4079976852,94731,130,1206.2138461539
20140303,0.4080671296,94737,13,1205.51
20140303,0.4080787037,94738,25,1206.4924
20140303,0.4081018519,94740,12,1206.66
20140303,0.4081365741,94743,34,1205.5
20140303,0.4081481481,94744,30,1206.27
20140303,0.4082060185,94749,402,1206.1965671642
20140303,0.4082175926,94750,10,1205.51
20140303,0.4082523148,94753,100,1206.17
20140303,0.4082638889,94754,100,1206.19
20140303,0.4083101852,94758,15,1206.67
20140303,0.4084027778,94806,6,1206.66
20140303,0.4084375,94809,6,1205.6301
20140303,0.4084490741,94810,4,1206.66
20140303,0.4084606481,94811,1,1206.66
20140303,0.4084953704,94814,1,1206.669
20140303,0.4085069444,94815,4,1205.53
20140303,0.4085185185,94816,5,1206.67
20140303,0.4085532407,94819,35,1206.66
20140303,0.4085763889,94821,1,1206.44
20140303,0.408587963,94822,10,1206.66
20140303,0.4086111111,94824,350,1205.5087428571
20140303,0.4086226852,94825,738,1205.5868699187
20140303,0.4086342593,94826,12,1205.1701
20140303,0.4086574074,94828,1,1206
20140303,0.4086805556,94830,124,1205.515483871
20140303,0.40875,94836,30,1205.99
